날짜,종가
2022-01-06,-0.0006578514571409233
2022-01-07,0.00467382002501493
2022-01-10,0.005667671340584546
2022-01-11,-0.013714695247092679
2022-01-12,0.008984013740256369
2022-01-13,-0.0032735367290821493
2022-01-14,-0.01819495533368376
2022-01-17,-0.02562387101090524
2022-01-18,-0.028563581433672103
2022-01-19,-0.001484308736216966
2022-01-20,-0.002619098180788648
2022-01-21,-0.008907026259758699
2022-01-24,-0.034516094382183504
2022-01-25,-0.034748748377526395
2022-01-26,0.002996772706316486
2022-01-27,-0.03363211522255416
2022-01-28,0.023902013635642927
2022-02-03,0.023653749370911026
2022-02-04,0.014787081158762483
2022-02-07,-0.012298289419744424
2022-02-08,0.005018299815115368
2022-02-09,0.019710166691695452
2022-02-10,0.0004786274437611482
2022-02-11,-0.01862074041363071
2022-02-14,-0.04004799760012001
2022-02-15,-0.011132812499999978
2022-02-16,0.033300414773849374
2022-02-17,0.008563345821545942
2022-02-18,0.029868849973466727
2022-02-21,0.005741626794258492
2022-02-22,-0.008965820098075006
2022-02-23,0.05243528673239539
2022-02-24,-0.030841023121995548
2022-02-25,0.026826442690608854
2022-02-28,0.03116736593449221
2022-03-02,0.027455807433240942
2022-03-03,-0.002628951747088215
2022-03-04,0.016349137499583
2022-03-07,-0.010964840287580935
2022-03-08,-0.025989975769243445
2022-03-10,0.007224645583424172
2022-03-11,0.03687914467451603
2022-03-14,-0.002316778698688182
2022-03-15,-0.03937857726901073
2022-03-16,0.009294882707432617
2022-03-17,-0.004823910403454312
2022-03-18,0.003965967255347369
2022-03-21,-0.008407049767033548
2022-03-22,0.015458476625012763
2022-03-23,0.004895550414109939
2022-03-24,0.011411792185258118
2022-03-25,-0.011579954471973797
2022-03-28,0.0023030707610147694
2022-03-29,-0.016350860834526748
2022-03-30,-0.012424673302187106
2022-03-31,0.0044564807514313465
2022-04-01,-0.013002969181939217
2022-04-04,0.013105117565698654
2022-04-05,0.0041980954981399865
2022-04-06,-0.011148120454082089
2022-04-07,-0.02313191723379393
2022-04-08,0.006861123816896075
2022-04-11,0.005905786972323135
2022-04-12,0.0009727288518324162
2022-04-13,0.04355672786589393
2022-04-14,0.010110416389517152
2022-04-15,0.027294876860265882
2022-04-18,-0.010993237396237365
2022-04-19,0.01843930261196447
2022-04-20,-0.007700385019250855
2022-04-21,0.00044893378226706915
2022-04-22,-0.011795249847751599
2022-04-25,-0.02140702539651662
2022-04-26,0.0001657220509760915
2022-04-27,-0.00023197242841987986
2022-04-28,0.01511485299479598
2022-04-29,-0.015738775510204084
2022-05-02,-0.006004710878147468
2022-05-03,-0.0035378145651158155
2022-05-04,-0.005660503751339752
2022-05-06,-0.0022905648937245893
2022-05-09,-0.010263682095951965
2022-05-10,-0.013064983796691076
2022-05-11,-0.015173510300013793
2022-05-12,-0.021724634120661168
2022-05-13,0.03253928392049943
2022-05-16,0.0044473784788574555
2022-05-17,-0.002179252136012999
2022-05-18,-0.021493447965055812
2022-05-19,-0.01385247644016141
2022-05-20,0.023854858990479455
2022-05-23,-0.004315940910207483
2022-05-24,-0.012933464899915426
2022-05-25,0.0035702809811131164
2022-05-26,0.013091892276495098
2022-05-27,0.011447835094988923
2022-05-30,0.003853765232788353
2022-05-31,0.021927094141246606
2022-06-02,-0.010525247055638287
2022-06-03,0.009405889797174716
2022-06-07,-0.00016942260775276718
2022-06-08,0.003355136069407294
2022-06-09,0.008241572654191787
2022-06-10,-0.006867671691792365
2022-06-13,-0.04466183167481874
2022-06-14,-0.010769393736096755
2022-06-15,-0.03694317532838387
2022-06-16,0.0012230829101960161
2022-06-17,0.016324868586658825
2022-06-20,-0.02083409215079235
2022-06-21,0.036751850611910886
2022-06-22,-0.02773492160309987
2022-06-23,-0.018082515314783554
2022-06-24,0.01465724594107054
2022-06-27,0.04248462849099921
2022-06-28,0.01794279623378925
2022-06-29,0.010017452006980898
2022-06-30,0.00898503645851334
2022-07-01,-0.010514778915642231
2022-07-04,-0.044479058497750024
2022-07-05,0.010976272414417565
2022-07-06,-0.07119822273183318
2022-07-07,0.025423401874927753
2022-07-08,0.0044394281414597
2022-07-11,-0.014270731890029253
2022-07-12,-0.009993540297146275
2022-07-13,-0.013779074230444555
2022-07-14,-0.001011870013621241
2022-07-15,-0.008103159453036635
2022-07-18,0.03766544911825931
2022-07-19,-0.002271006813020282
2022-07-20,0.00041729893778441607
2022-07-21,0.01080732622957048
2022-07-22,0.011329531812725113
2022-07-25,0.00077898953928357
2022-07-26,0.00537455057637426
2022-07-27,-0.0011797669960182944
2022-07-28,0.013620256902406647
2022-07-29,0.02574560285495786
2022-08-01,0.023501846066458443
2022-08-02,0.0016302462712451948
2022-08-03,0.010285001904630109
2022-08-04,-0.019435113457187958
2022-08-05,0.012654245464396752
2022-08-08,0.0210915116158652
2022-08-09,0.009634888438133649
2022-08-10,0.01908588648920162
2022-08-11,0.011237062592409863
2022-08-12,0.006920752509991246
2022-08-16,-0.0007099064214262096
2022-08-17,-0.004779126840609771
2022-08-18,0.001719662556781465
2022-08-19,0.0009717228646388687
2022-08-22,-0.006277707665922394
2022-08-23,0.03383372952554642
2022-08-24,0.027781277560791295
2022-08-25,0.0023904382470119057
2022-08-26,0.0007643389996330185
2022-08-29,-0.013991995845171523
2022-08-30,-0.0118667699457784
2022-08-31,-0.010535557506584747
2022-09-01,-0.04322474331347437
2022-09-02,-0.009141494435612074
2022-09-05,0.005047466238802034
2022-09-06,0.005421225928759155
2022-09-07,-0.03612305656632486
2022-09-08,-0.0060402223900061225
2022-09-13,-0.00020716801325870726
