날짜,종가
2022-01-06,0.00634712813798588
2022-01-07,0.006301439601776204
2022-01-10,-0.024823073766575443
2022-01-11,-0.005752725050869545
2022-01-12,0.014064991158651452
2022-01-13,-0.007295138670523893
2022-01-14,-0.009416304316525959
2022-01-17,-0.016215116279069797
2022-01-18,-0.012901052532045765
2022-01-19,-0.01127954594439251
2022-01-20,0.0055224531318120995
2022-01-21,-0.011490099725393832
2022-01-24,-0.01565660257816115
2022-01-25,-0.021655175828392492
2022-01-26,-0.0027454627116820784
2022-01-27,-0.018154714707095176
2022-01-28,0.02843981574203891
2022-02-03,0.006074692967302342
2022-02-04,0.005501024027174228
2022-02-07,-0.007352530226723664
2022-02-08,-0.0043853887105955724
2022-02-09,0.01518083796214853
2022-02-10,-0.001974449753658014
2022-02-11,-0.009259201835715825
2022-02-14,-0.02356778005909166
2022-02-15,0.006026143204241441
2022-02-16,0.01876031530584288
2022-02-17,-0.0002251815526268519
2022-02-18,-0.003340945349892044
2022-02-21,0.005379752795023229
2022-02-22,-0.014167259830916823
2022-02-23,0.005579869401921567
2022-02-24,-0.03605844932921831
2022-02-25,0.010526315789473717
2022-02-28,0.00398303331264227
2022-03-02,-0.010040445154309796
2022-03-03,0.020141432409750415
2022-03-04,-0.012033748062930005
2022-03-07,-0.025987271013800495
2022-03-08,-0.013114993107835815
2022-03-10,0.018708408039377566
2022-03-11,-0.005484400440334047
2022-03-14,-0.02167414546201729
2022-03-15,-0.0024051327565530745
2022-03-16,0.02717221520448776
2022-03-17,0.003094276250107386
2022-03-18,0.001990574432323644
2022-03-21,-0.011360571515027895
2022-03-22,0.010892274935125457
2022-03-23,0.008161814555674773
2022-03-24,-0.002023934659554638
2022-03-25,-0.004330845169014053
2022-03-28,0.0016886231479351643
2022-03-29,0.008081232125521476
2022-03-30,0.014939746492803385
2022-03-31,0.0006411078343377952
2022-04-01,0.0005638134290109065
2022-04-04,0.0005763024435223585
2022-04-05,0.0038206043850554927
2022-04-06,0.004787861400656679
2022-04-07,-0.016693526896184085
2022-04-08,-0.005859009517664049
2022-04-11,0.011371675959160665
2022-04-12,-0.00875374633388748
2022-04-13,0.01625716228027585
2022-04-14,-0.00660015544767667
2022-04-15,-0.004392996857564224
2022-04-18,0.017121324358272405
2022-04-19,0.0008042912420915815
2022-04-20,0.010371448459153498
2022-04-21,0.0029185377249183464
2022-04-22,-0.005570300059324795
2022-04-25,-0.017583190469910748
2022-04-26,0.023427062891915762
2022-04-27,-0.005527518924725805
2022-04-28,0.011336301916180513
2022-04-29,-0.003651538862806447
2022-05-02,0.0032535527299923928
2022-05-03,-0.012487419390912136
2022-05-04,0.0009562635260960128
2022-05-06,-0.009566069991954973
2022-05-09,-0.013688111586348639
2022-05-10,0.0020524368666559045
2022-05-11,0.011673001849188402
2022-05-12,-0.007946078369149956
2022-05-13,0.021726057194037418
2022-05-16,-0.006186367450189634
2022-05-17,0.004044909840093647
2022-05-18,-0.0005710341365461336
2022-05-19,-0.02740018459336102
2022-05-20,0.02067073367547856
2022-05-23,0.0024983081078004954
2022-05-24,-0.012561355692672693
2022-05-25,0.001993470107532369
2022-05-26,-0.0033668530763981686
2022-05-27,0.009200550241530436
2022-05-30,0.0137637653503071
2022-05-31,0.02134405643386028
2022-06-02,-0.008247763551865406
2022-06-03,-0.0011545347903934022
2022-06-07,-0.00831978638052211
2022-06-08,-0.0054226892799041915
2022-06-09,0.006730714997461806
2022-06-10,-0.00344868371088336
2022-06-13,-0.044038554036242794
2022-06-14,-0.015192404451211172
2022-06-15,-0.003151706566165924
2022-06-16,-0.0064298408514545935
2022-06-17,-0.010658466815389511
2022-06-20,-0.012411971830985857
2022-06-21,0.015955076210000918
2022-06-22,-0.020165481123543993
2022-06-23,-0.005647927486121085
2022-06-24,0.012710749068340021
2022-06-27,0.03744844426508709
2022-06-28,0.00984994330019262
2022-06-29,-0.034771822158386145
2022-06-30,0.0005884581044883763
2022-07-01,0.0002636364250900858
2022-07-04,-0.0006690545380820812
2022-07-05,0.0008791446598723773
2022-07-06,-0.028195755434084924
2022-07-07,0.010359596184331243
2022-07-08,0.017334397665808687
2022-07-11,-0.0057698681656148665
2022-07-12,-0.005170630816959565
2022-07-13,0.024223109749425653
2022-07-14,-0.005274895503652455
2022-07-15,0.0027588336376327405
2022-07-18,0.01103174975064758
2022-07-19,0.01424173204886281
2022-07-20,0.0031008055566434933
2022-07-21,0.003696448675981623
2022-07-22,-0.0018479014971243268
2022-07-25,0.020254118380709674
2022-07-26,0.0020883472768715716
2022-07-27,-0.0029099688671454516
2022-07-28,-0.0006308464812785353
2022-07-29,0.007861865806303658
2022-08-01,-0.002340794351726516
2022-08-02,-0.0002599939123376638
2022-08-03,0.008987980083092983
2022-08-04,0.0004337658418829271
2022-08-05,-0.005881576714988679
2022-08-08,0.005872127935273808
2022-08-09,-0.0010745660889563968
2022-08-10,-0.010046362990129842
2022-08-11,0.009144287838541931
2022-08-12,0.008601744277573209
2022-08-16,-0.0066304137453098155
2022-08-17,-0.01654840392435375
2022-08-18,-0.01689715994785146
2022-08-19,0.00886681574704884
2022-08-22,-0.007236011237403028
2022-08-23,-0.00982002037994989
2022-08-24,-0.0035789197692709385
2022-08-25,0.021826936992645374
2022-08-26,0.00018025905801755115
2022-08-29,-0.023358650875386133
2022-08-30,0.032234678477041756
2022-08-31,0.0046034401297392336
2022-09-01,-0.013518237226950003
2022-09-02,0.005843469745387075
2022-09-05,0.006309128059286628
2022-09-06,0.009159304427527548
2022-09-07,-0.0007884097460059136
